OperatingDate,UnitName,cyHighTemperature,cyImpactName,cyLowTemperature,cyTotal,cyWeather1,cyWeather2
6/13/2019,Newport Aquarium              ,68,No weather impact        ,53,3015,L53/H68/A61/P0.05/Partly Cloudy/Pleasant                    ,                                                            
6/13/2019,Adventure Aquarium            ,71,No weather impact        ,56,2036,L56/H71/A64/P1.23/Mostly Cloudy/Comfortable                 ,                                                            
6/14/2019,Silver Dollar City            ,79,No weather impact        ,54,10936,L54/H78/A67/Partly Cloudy/Comfortable                       ,                                                            
6/14/2019,Dollywood                     ,78,No weather impact        ,50,14467,L50/H79/A64/Mostly Sunny/Pleasant                           ,                                                            
6/14/2019,Dollywood Splash Country      ,78,Unfavorable temperature  ,50,3348,L50/H79/A64/Mostly Sunny/Pleasant                           ,Some Cold Temps                                             
6/14/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/14/2019,DreamMore Resort              ,0,                         ,0,306,                                                            ,                                                            
6/14/2019,Stone Mountain                ,82,No weather impact        ,55,2454,L55/H83/A70/Mostly Sunny/Pleasant                           ,                                                            
6/14/2019,White Water                   ,79,Unfavorable temperature  ,54,1035,L54/H78/A67/Partly Cloudy/Comfortable                       ,Some Cold Temps/Cloudy                                      
6/14/2019,Wild Adventures               ,87,No weather impact        ,66,5174,L66/H88/A78/Mostly Sunny/Comfortable                        ,                                                            
6/14/2019,Newport Aquarium              ,77,No weather impact        ,50,2510,L50/H77/A65/Mostly Sunny/Pleasant                           ,                                                            
6/14/2019,Adventure Aquarium            ,73,No weather impact        ,57,1947,L57/H73/A65/Mostly Sunny/Pleasant                           ,                                                            
6/15/2019,Silver Dollar City            ,90,No weather impact        ,65,12049,L65/H85/A75/P0.02/Partly Cloudy/Uncomfortable               ,                                                            
6/15/2019,Dollywood                     ,85,No weather impact        ,51,16779,L51/H85/A69/Mostly Sunny/Comfortable                        ,                                                            
6/15/2019,Dollywood Splash Country      ,85,No weather impact        ,51,5477,L51/H85/A69/Mostly Sunny/Comfortable                        ,                                                            
